id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,Time_stamp
bitcoin,110716.0,2205960969887,0.99807,113225.0,109413.0,124128.0,67.81,05-09-2025 22:02:07
ethereum,4281.88,516792057761,-0.70712,4467.61,4269.81,4946.05,0.432979,05-09-2025 22:02:07
tether,1.0,168559584039,-0.0029,1.0,1.0,1.32,0.572521,05-09-2025 22:02:07
ripple,2.82,167643555056,0.08326,2.88,2.78,3.65,0.00268621,05-09-2025 22:02:07
binancecoin,849.05,118221980670,0.555,856.91,842.01,899.77,0.0398177,05-09-2025 22:02:07
solana,203.52,110367402842,-0.27881,209.77,201.33,293.31,0.500801,05-09-2025 22:02:07
usd-coin,0.999811,72607852632,0.00388,0.999905,0.999701,1.17,0.877647,05-09-2025 22:02:07
staked-ether,4273.17,37092830799,-0.63506,4463.09,4261.87,4932.89,482.9,05-09-2025 22:02:07
dogecoin,0.214425,32356770035,0.83963,0.220603,0.210842,0.731578,8.69e-05,05-09-2025 22:02:07
tron,0.332581,31489303715,-0.7579,0.338897,0.331665,0.431288,0.00180434,05-09-2025 22:02:07
cardano,0.824232,30142780112,1.83315,0.845358,0.804263,3.09,0.01925275,05-09-2025 22:02:07
wrapped-steth,5187.83,16360846435,-0.54479,5410.05,5171.96,7256.02,558.54,05-09-2025 22:02:07
chainlink,22.25,15105570794,-1.14672,23.16,22.17,52.7,0.148183,05-09-2025 22:02:07
wrapped-beacon-eth,4609.52,14125771082,-0.90432,4817.44,4597.32,5330.78,1501.6,05-09-2025 22:02:07
wrapped-bitcoin,110754.0,14091718260,1.20554,113474.0,109378.0,123882.0,3139.17,05-09-2025 22:02:07
hyperliquid,46.74,12677869688,3.36002,47.57,44.44,50.99,3.81,05-09-2025 22:02:07
figure-heloc,1.034,12663051710,3.69111,1.043,0.992148,1.056,0.987799,05-09-2025 22:02:07
ethena-usde,1.001,12652178468,-0.02086,1.003,0.998531,1.032,0.929486,05-09-2025 22:02:07
bitcoin-cash,610.21,12170134854,3.89333,614.92,585.18,3785.82,76.93,05-09-2025 22:02:07
sui,3.38,12074231351,3.4606,3.45,3.24,5.35,0.364846,05-09-2025 22:02:07
wrapped-eeth,4596.53,11552502359,-0.48929,4799.11,4578.83,5296.78,1505.24,05-09-2025 22:02:07
stellar,0.360337,11447688451,1.51513,0.36766,0.351218,0.875563,0.00047612,05-09-2025 22:02:07
avalanche-2,24.34,10298130083,-1.66465,25.05,23.9,144.96,2.8,05-09-2025 22:02:07
weth,4284.09,9670798579,-0.64665,4475.21,4267.56,4950.08,82.1,05-09-2025 22:02:07
hedera-hashgraph,0.21783,9243962467,2.538,0.223695,0.211288,0.569229,0.00986111,05-09-2025 22:02:07
crypto-com-chain,0.264133,8877661693,-0.65484,0.274739,0.262251,0.965407,0.0121196,05-09-2025 22:02:07
leo-token,9.53,8786018766,0.1174,9.56,9.5,10.14,0.799859,05-09-2025 22:02:07
litecoin,112.4,8587129551,2.07793,114.85,109.7,410.26,1.15,05-09-2025 22:02:07
usds,0.99968,8135759179,0.01604,1.0,0.999138,1.057,0.948265,05-09-2025 22:02:07
the-open-network,3.09,7939875566,-0.4364,3.13,3.08,8.25,0.519364,05-09-2025 22:02:07
shiba-inu,1.229e-05,7247881839,1.65374,1.245e-05,1.203e-05,8.616e-05,5.6366e-11,05-09-2025 22:02:07
binance-bridged-usdt-bnb-smart-chain,0.999879,6785090104,0.0175,1.001,0.999497,1.05,0.942186,05-09-2025 22:02:07
whitebit,42.34,6107448063,0.75609,43.19,41.85,52.27,3.06,05-09-2025 22:02:07
coinbase-wrapped-btc,110849.0,6075113662,1.22618,113167.0,109411.0,123939.0,57439.0,05-09-2025 22:02:07
polkadot,3.81,5806752470,1.30998,3.89,3.74,54.98,2.7,05-09-2025 22:02:07
ethena-staked-usde,1.19,5687758713,0.02041,1.2,1.19,1.29,1.012,05-09-2025 22:02:07
uniswap,9.37,5638372348,1.48504,9.68,9.18,44.92,1.03,05-09-2025 22:02:07
world-liberty-financial,0.181384,4953786386,2.56491,0.190513,0.174631,0.331336,0.164016,05-09-2025 22:02:07
monero,265.59,4905869472,-1.53212,272.75,264.96,542.33,0.216177,05-09-2025 22:02:07
aave,301.77,4600653648,-2.40313,312.68,299.43,661.69,26.02,05-09-2025 22:02:07
ethena,0.6595,4546193179,-2.40927,0.693768,0.642497,1.52,0.195078,05-09-2025 22:02:07
dai,0.998972,4544612942,-0.10109,1.001,0.998692,1.22,0.88196,05-09-2025 22:02:07
bitget-token,4.79,4410150446,-0.87942,4.92,4.75,8.45,0.0142795,05-09-2025 22:02:07
pepe,9.61e-06,4052539792,1.51239,9.86e-06,9.4e-06,2.803e-05,5.5142e-08,05-09-2025 22:02:07
mantle,1.18,3830309215,4.19262,1.19,1.13,1.54,0.307978,05-09-2025 22:02:07
okb,179.52,3774144522,1.73573,184.61,175.32,255.5,0.580608,05-09-2025 22:02:07
ethereum-classic,20.36,3125577099,0.96278,20.94,20.07,167.09,0.615038,05-09-2025 22:02:07
bittensor,318.31,3056968707,1.4176,326.84,311.5,757.6,30.83,05-09-2025 22:02:07
jito-staked-sol,250.29,3014901542,-0.01439,257.47,246.98,339.52,0.57898,05-09-2025 22:02:07
near,2.4,3003203252,0.75864,2.48,2.37,20.44,0.526762,05-09-2025 22:02:07
aptos,4.26,2935359087,0.70226,4.35,4.2,19.92,3.08,05-09-2025 22:02:07
polygon-ecosystem-token,0.27843,2927094210,-0.26961,0.290538,0.274201,1.29,0.153392,05-09-2025 22:02:07
ondo-finance,0.910804,2879807103,-0.44522,0.939876,0.905658,2.14,0.082171,05-09-2025 22:02:07
usdt0,1.001,2804417404,0.27578,1.002,0.998257,1.052,0.975737,05-09-2025 22:02:07
pi-network,0.344,2752851025,0.44276,0.348682,0.341059,2.99,0.33123,05-09-2025 22:02:07
memecore,1.6,2681233106,19.47273,1.75,1.3,1.75,0.04746135,05-09-2025 22:02:07
usd1-wlfi,0.99896,2623608907,-0.03989,0.99955,0.998678,1.025,0.989703,05-09-2025 22:02:07
binance-peg-weth,4280.28,2593498940,-0.90087,4475.49,4267.68,4955.78,1394.32,05-09-2025 22:02:07
arbitrum,0.488815,2591165167,0.65336,0.510541,0.479349,2.39,0.245747,05-09-2025 22:02:07
internet-computer,4.76,2560886789,0.01329,4.88,4.69,700.65,2.87,05-09-2025 22:02:07
story-2,7.91,2411310489,0.02242,8.39,7.86,8.64,1.0,05-09-2025 22:02:07
binance-staked-sol,218.03,2316267169,-0.38371,225.15,215.58,297.96,100.21,05-09-2025 22:02:07
blackrock-usd-institutional-digital-liquidity-fund,1.0,2247078023,0.0,1.0,1.0,1.0,1.0,05-09-2025 22:02:07
kaspa,0.082216,2168542673,0.55758,0.08429,0.081135,0.207411,0.00017105,05-09-2025 22:02:07
susds,1.066,2081784342,-0.13597,1.072,1.061,1.088,0.961716,05-09-2025 22:02:07
cosmos,4.43,2070590237,0.72066,4.55,4.34,44.45,1.16,05-09-2025 22:02:07
vechain,0.02345882,2018572976,1.16571,0.02397135,0.02300495,0.280991,0.00191713,05-09-2025 22:02:07
jupiter-perpetuals-liquidity-provider-token,5.41,2017519196,-0.04856,5.49,5.39,5.57,0.146839,05-09-2025 22:02:07
algorand,0.229484,2010578628,1.01916,0.235916,0.225354,3.56,0.087513,05-09-2025 22:02:07
gatechain-token,16.78,2003894581,-0.20244,17.0,16.72,25.94,0.25754,05-09-2025 22:02:07
rocket-pool-eth,4885.54,1961170908,-0.24181,5093.96,4857.12,5618.08,887.26,05-09-2025 22:02:07
fasttoken,4.5,1944538884,0.13329,4.52,4.49,4.61,0.398142,05-09-2025 22:02:07
kucoin-shares,14.45,1840088514,-1.90054,14.92,14.42,28.83,0.342863,05-09-2025 22:02:07
pudgy-penguins,0.02892528,1822230586,0.55251,0.03043602,0.02823436,0.068447,0.00371517,05-09-2025 22:02:07
kelp-dao-restaked-eth,4502.51,1790687211,-0.69282,4703.44,4489.3,5190.42,1029.61,05-09-2025 22:02:07
kinetic-staked-hype,46.74,1786760688,3.04357,47.59,44.55,51.18,35.62,05-09-2025 22:02:07
render-token,3.43,1778715353,2.49264,3.52,3.32,13.53,0.03665669,05-09-2025 22:02:07
worldcoin-wld,0.8859,1777667919,2.38352,0.921167,0.863281,11.74,0.583741,05-09-2025 22:02:07
sei-network,0.291381,1752742373,4.15754,0.299032,0.276861,1.14,0.095364,05-09-2025 22:02:07
bfusd,0.999484,1699103145,0.0191,0.999793,0.99902,1.0,0.998554,05-09-2025 22:02:07
sky,0.071468,1673850627,-2.09767,0.076999,0.071288,0.100535,0.03582727,05-09-2025 22:02:07
official-trump,8.32,1665047044,1.0253,8.44,8.24,73.43,4.29,05-09-2025 22:02:07
falcon-finance,0.999131,1645690768,-0.03545,1.001,0.997694,1.075,0.943422,05-09-2025 22:02:07
stakewise-v3-oseth,4503.79,1618524932,-0.71126,4699.44,4492.16,5206.8,1459.73,05-09-2025 22:02:07
pump-fun,0.0045174,1600551541,5.9253,0.00469574,0.00407097,0.00681162,0.00228323,05-09-2025 22:02:07
usdtb,1.0,1598353512,0.01196,1.006,0.996266,1.018,0.900502,05-09-2025 22:02:07
filecoin,2.32,1591091426,3.07139,2.38,2.24,236.84,1.98,05-09-2025 22:02:07
fetch-ai,0.606295,1579815814,2.00262,0.620266,0.591036,3.45,0.00816959,05-09-2025 22:02:07
bonk,1.998e-05,1548527038,3.69815,2.054e-05,1.917e-05,5.825e-05,8.6142e-08,05-09-2025 22:02:07
liquid-staked-ethereum,4622.21,1544401485,-0.47506,4830.34,4604.45,5334.09,1384.61,05-09-2025 22:02:07
lombard-staked-btc,110838.0,1534094960,1.00835,113418.0,109254.0,124380.0,52119.0,05-09-2025 22:02:07
jupiter-exchange-solana,0.489451,1521893726,1.87333,0.503026,0.475744,2.0,0.306358,05-09-2025 22:02:07
flare-networks,0.020255,1496879463,-0.42785,0.0206248,0.01999507,0.150073,0.00827405,05-09-2025 22:02:07
quant-network,101.7,1479407918,1.26684,102.83,100.15,427.42,0.215773,05-09-2025 22:02:07
polygon-bridged-usdt-polygon,0.999901,1435234288,-0.00857,1.0,0.999729,1.027,0.945933,05-09-2025 22:02:07
xdce-crowd-sale,0.080692,1431335849,3.98796,0.082838,0.077009,0.192754,0.00039532,05-09-2025 22:02:07
four,3.71,1416609204,1.0818,3.8,3.67,4.19,1.69,05-09-2025 22:02:07
renzo-restaked-eth,4529.35,1373355928,-0.40216,4726.55,4511.77,5227.06,1454.43,05-09-2025 22:02:07
tether-gold,3603.05,1352219481,1.69274,3604.29,3531.9,3604.29,1447.84,05-09-2025 22:02:07
hash-2,0.02735087,1331912916,3.72264,0.02792406,0.02507865,0.058737,0.01378736,05-09-2025 22:02:07
nexo,1.28,1285235200,2.78449,1.3,1.25,4.07,0.04515276,05-09-2025 22:02:07
optimism,0.709498,1263944065,2.8833,0.730571,0.683404,4.84,0.402159,05-09-2025 22:02:07
injective-protocol,12.7,1242085214,0.82387,13.12,12.39,52.62,0.657401,05-09-2025 22:02:07
celestia,1.61,1240575735,3.07989,1.64,1.54,20.85,1.32,05-09-2025 22:02:07
mantle-staked-ether,4600.27,1230324143,-0.62027,4814.72,4575.36,5312.55,1485.62,05-09-2025 22:02:07
jupiter-staked-sol,231.06,1192390056,-0.15,238.31,228.5,309.67,105.7,05-09-2025 22:02:07
paypal-usd,0.999833,1167435610,-0.02371,1.001,0.999132,1.021,0.959426,05-09-2025 22:02:07
wbnb,848.87,1163594404,0.46769,857.51,841.49,899.71,23.6,05-09-2025 22:02:07
solv-btc,110053.0,1123967412,0.80876,112921.0,108731.0,123975.0,49058.0,05-09-2025 22:02:07
first-digital-usd,0.997865,1119943315,-0.07006,1.003,0.995807,1.15,0.940377,05-09-2025 22:02:07
blockstack,0.616784,1108114349,0.92416,0.632504,0.60498,3.86,0.04559639,05-09-2025 22:02:07
syrupusdc,1.12,1064903202,0.01823,1.12,1.12,1.14,1.055,05-09-2025 22:02:07
lido-dao,1.18,1053085652,1.0005,1.23,1.16,7.3,0.40615,05-09-2025 22:02:07
binance-bridged-usdc-bnb-smart-chain,0.999687,1048800139,-0.03239,1.001,0.997818,1.031,0.942892,05-09-2025 22:02:07
aerodrome-finance,1.17,1048715808,7.05134,1.24,1.092,2.32,1.861e-05,05-09-2025 22:02:07
curve-dao-token,0.75024,1048528095,0.22527,0.778651,0.741558,15.37,0.180354,05-09-2025 22:02:07
spx6900,1.12,1043213155,2.89773,1.19,1.067,2.27,0.00131808,05-09-2025 22:02:07
pax-gold,3594.35,1022974023,0.94577,3595.32,3549.91,3595.32,1399.64,05-09-2025 22:02:07
immutable-x,0.513884,993605374,2.34405,0.530137,0.495982,9.52,0.343711,05-09-2025 22:02:07
sonic-3,0.305194,985469022,2.15513,0.312328,0.297833,1.029,0.250194,05-09-2025 22:02:07
super-oeth,4285.99,961966893,-0.59303,4474.74,4265.6,4954.12,1312.97,05-09-2025 22:02:07
saros-finance,0.359893,944776981,-0.53827,0.365892,0.35938,0.41359,0.00101093,05-09-2025 22:02:07
msol,269.41,936699055,0.03351,277.34,265.81,363.77,8.93,05-09-2025 22:02:07
arbitrum-bridged-wbtc-arbitrum-one,110613.0,925323715,1.00528,113092.0,109354.0,124121.0,49594.0,05-09-2025 22:02:07
the-graph,0.088157,923347385,1.64185,0.090648,0.086152,2.84,0.052051,05-09-2025 22:02:07
clbtc,114018.0,880585992,3.1122,114018.0,109962.0,129190.0,51493.0,05-09-2025 22:02:07
raydium,3.27,879010808,-0.68353,3.41,3.25,16.83,0.134391,05-09-2025 22:02:07
conflux-token,0.170194,875314328,1.52007,0.174195,0.167646,1.7,0.02199898,05-09-2025 22:02:07
floki,8.997e-05,869174662,1.85297,9.257e-05,8.779e-05,0.00034495,8.428e-08,05-09-2025 22:02:07
kaia,0.145969,855536224,0.75978,0.148894,0.143804,0.406698,0.090737,05-09-2025 22:02:07
pyth-network,0.146878,846254230,-0.83986,0.153139,0.146809,1.2,0.081442,05-09-2025 22:02:07
cgeth-hashkey-cloud,4166.84,833072401,-0.9297,4310.93,4153.6,4746.13,1430.7,05-09-2025 22:02:07
pancakeswap-token,2.38,821751856,1.45148,2.41,2.33,43.96,0.194441,05-09-2025 22:02:07
l2-standard-bridged-weth-base,4283.36,816185467,-0.53489,4480.14,4265.72,4952.69,1394.17,05-09-2025 22:02:07
dogwifcoin,0.804209,805076396,2.56872,0.825877,0.775986,4.83,0.00155464,05-09-2025 22:02:07
pendle,4.62,782792427,1.82918,4.82,4.47,7.5,0.03377729,05-09-2025 22:02:07
theta-token,0.776074,778435999,2.10266,0.801145,0.75301,15.72,0.04039979,05-09-2025 22:02:07
ether-fi-staked-eth,4268.79,776222431,-0.73096,4456.21,4253.12,5307.23,975.47,05-09-2025 22:02:07
tezos,0.713857,755290289,1.32543,0.730673,0.700646,9.12,0.350476,05-09-2025 22:02:07
fartcoin,0.739117,740159658,-1.24275,0.775469,0.732891,2.48,0.02002855,05-09-2025 22:02:07
iota,0.183108,735517500,0.13986,0.188158,0.181605,5.25,0.081637,05-09-2025 22:02:07
gala,0.01599263,734649582,2.41678,0.01641752,0.0154871,0.824837,0.00013475,05-09-2025 22:02:07
ethereum-name-service,22.12,733950761,0.15686,22.9,21.99,83.4,6.69,05-09-2025 22:02:07
vaulta,0.460913,732407753,-2.58538,0.474356,0.450713,0.778734,0.450713,05-09-2025 22:02:07
ousg,112.44,726077008,0.01105,112.44,112.43,112.44,95.09,05-09-2025 22:02:07
ripple-usd,0.999819,709308749,0.00722,1.002,0.999025,1.073,0.962292,05-09-2025 22:02:07
virtual-protocol,1.062,704631486,1.28688,1.12,1.037,5.07,0.00748604,05-09-2025 22:02:07
the-sandbox,0.281873,690244416,3.32038,0.290913,0.270094,8.4,0.02897764,05-09-2025 22:02:07
jito-governance-token,1.84,688491614,-1.63687,1.89,1.81,6.01,1.43,05-09-2025 22:02:07
usdx-money-usdx,0.998077,679800823,0.06986,0.999003,0.995703,1.057,0.944423,05-09-2025 22:02:07
jasmycoin,0.01397333,677498394,1.59802,0.01434941,0.01368737,4.79,0.00275026,05-09-2025 22:02:07
ondo-us-dollar-yield,1.082,674307326,-0.07078,1.085,1.076,1.26,0.934184,05-09-2025 22:02:07
zcash,40.71,663174223,0.49955,41.95,40.26,3191.93,16.08,05-09-2025 22:02:07
newton-project,0.00867098,658435659,-0.48146,0.00872837,0.00860704,0.01727373,3.8e-06,05-09-2025 22:02:07
tbtc,110595.0,654635913,1.24897,113085.0,109129.0,123844.0,10104.3,05-09-2025 22:02:07
stader-ethx,4566.46,654528558,-0.82802,4773.34,4560.56,5253.42,1474.49,05-09-2025 22:02:07
morpho,1.97,653188689,-1.61479,2.06,1.96,4.17,0.713151,05-09-2025 22:02:07
arbitrum-bridged-weth-arbitrum-one,4282.13,646678139,-0.68391,4471.28,4270.16,4952.19,1395.31,05-09-2025 22:02:07
flow,0.398981,641560130,0.27757,0.410527,0.394241,42.4,0.292024,05-09-2025 22:02:07
bittorrent,6.34565e-07,625915761,-0.07219,6.43255e-07,6.24925e-07,3.43e-06,3.65368e-07,05-09-2025 22:02:07
walrus-2,0.428591,620472314,5.06343,0.447464,0.405099,0.759179,0.360051,05-09-2025 22:02:07
loaded-lions,0.020069,614022790,-1.56338,0.02065591,0.01992114,0.03159196,0.00221931,05-09-2025 22:02:07
decentraland,0.319435,612908863,6.88463,0.329458,0.294852,5.85,0.00923681,05-09-2025 22:02:07
coinbase-wrapped-staked-eth,4705.05,597849955,-0.63116,4908.4,4690.43,5441.47,1036.96,05-09-2025 22:02:07
mantle-restaked-eth,4602.66,594249702,-0.88364,4799.49,4562.16,5306.91,1480.7,05-09-2025 22:02:07
build-on,0.592025,592028282,-3.21721,0.626011,0.591773,0.731588,0.175498,05-09-2025 22:02:07
usual-usd,0.998521,570206995,0.03971,1.001,0.996348,1.33,0.962885,05-09-2025 22:02:07
syrup,0.506274,565394195,5.3723,0.524898,0.470193,0.653229,0.085229,05-09-2025 22:02:07
sweth,4658.87,564946731,-1.22074,4864.61,4644.42,5370.2,1516.13,05-09-2025 22:02:07
global-dollar,0.999619,559848972,0.0017,0.999786,0.999137,1.65,0.907561,05-09-2025 22:02:07
binance-peg-dogecoin,0.214838,550864859,0.97195,0.220758,0.210669,0.480585,0.04955727,05-09-2025 22:02:07
beldex,0.074592,548729205,-0.0656,0.07505,0.074158,0.450785,0.00027519,05-09-2025 22:02:07
ether-fi,1.13,529824939,4.35604,1.17,1.08,8.53,0.40432,05-09-2025 22:02:07
bitcoin-avalanche-bridged-btc-b,110769.0,511217325,1.13558,113131.0,109325.0,124076.0,7806.11,05-09-2025 22:02:07
bitcoin-cash-sv,25.58,509229499,0.31756,26.07,25.27,489.75,21.43,05-09-2025 22:02:07
vision-3,0.155406,504319592,-2.18853,0.16024,0.154302,0.223874,0.120088,05-09-2025 22:02:07
starknet,0.122446,500105609,1.83184,0.125631,0.118373,4.41,0.097027,05-09-2025 22:02:07
true-usd,0.996252,493841501,-0.24746,1.002,0.996265,1.62,0.88355,05-09-2025 22:02:07
frax-ether,4254.18,479975126,-0.53076,4444.21,4240.23,4906.89,1137.25,05-09-2025 22:02:07
telcoin,0.00518358,478973857,8.45241,0.00541357,0.00479544,0.064483,6.474e-05,05-09-2025 22:02:07
solv-protocol-solvbtc-bbn,110211.0,476925952,0.96204,111362.0,108279.0,175368.0,11402.13,05-09-2025 22:02:07
usdd,1.0,466696563,0.07032,1.001,0.998391,1.052,0.928067,05-09-2025 22:02:07
polygon-pos-bridged-weth-polygon-pos,4285.56,465585141,-0.43563,4473.08,4266.67,4948.98,1390.73,05-09-2025 22:02:07
dydx-chain,0.591296,460828378,2.9435,0.60979,0.565806,4.52,0.418236,05-09-2025 22:02:07
apecoin,0.575299,460316809,2.68007,0.583043,0.5577,26.7,0.354833,05-09-2025 22:02:07
mantle-bridged-usdt-mantle,1.001,459707035,0.11608,1.009,0.993853,1.26,0.869914,05-09-2025 22:02:07
neo,6.45,454902335,0.80486,6.62,6.34,198.38,0.078349,05-09-2025 22:02:07
apenft,4.51433e-07,447067710,-0.1861,4.53172e-07,4.5156e-07,7.53e-06,2.98737e-07,05-09-2025 22:02:07
helium,2.4,445760075,-1.84425,2.45,2.27,54.88,0.113248,05-09-2025 22:02:07
eigenlayer,1.35,444660655,13.546,1.36,1.17,5.65,0.668501,05-09-2025 22:02:07
based-brett,0.04473629,443807374,3.70123,0.04688018,0.04270835,0.234204,0.00084753,05-09-2025 22:02:07
reserve-rights-token,0.00740351,442171619,2.3306,0.00768624,0.00713559,0.117424,0.00121354,05-09-2025 22:02:07
superstate-short-duration-us-government-securities-fund-ustb,10.81,439575790,0.01074,10.81,10.81,10.81,10.29,05-09-2025 22:02:07
polygon-pos-bridged-dai-polygon-pos,0.999788,439553439,0.00501,1.0,0.999502,1.025,0.957024,05-09-2025 22:02:07
arweave,6.59,431744394,5.80618,6.76,6.18,89.24,0.298788,05-09-2025 22:02:07
instadapp,6.37,431435476,-0.15157,6.65,6.34,24.4,0.366538,05-09-2025 22:02:07
savings-dai,1.16,428389341,0.02321,1.17,1.16,1.27,0.186576,05-09-2025 22:02:07
bybit-staked-sol,224.41,427243258,-0.34512,231.43,221.78,308.6,103.09,05-09-2025 22:02:07
bridged-usdc-polygon-pos-bridge,0.99981,425168196,0.01156,0.999946,0.999649,1.028,0.975633,05-09-2025 22:02:07
benqi-liquid-staked-avax,29.81,424174776,-1.92024,30.69,29.25,103.55,9.25,05-09-2025 22:02:07
coredaoorg,0.414541,419307298,0.08996,0.423398,0.410042,6.14,0.334237,05-09-2025 22:02:07
thorchain,1.18,415537297,0.92224,1.24,1.17,20.87,0.00851264,05-09-2025 22:02:07
hashnote-usyc,1.099,412700527,-0.07208,1.1,1.099,1.12,1.026,05-09-2025 22:02:07
dexe,7.22,411799604,-1.51907,7.33,7.16,32.38,0.671563,05-09-2025 22:02:07
compound-governance-token,43.34,410092490,3.59419,44.3,41.62,910.54,25.74,05-09-2025 22:02:07
usdb,0.998013,405397000,0.03965,1.021,0.97142,1.088,0.882623,05-09-2025 22:02:07
zksync,0.055948,404979059,2.19109,0.057712,0.054492,0.320983,0.03697818,05-09-2025 22:02:07
sun-token,0.02112222,404948202,-3.10343,0.02180202,0.0211224,66.45,0.00462303,05-09-2025 22:02:07
tokenize-xchange,4.99,403999671,-0.13423,5.11,4.88,50.43,0.111255,05-09-2025 22:02:07
kava,0.370779,401627857,0.61657,0.372812,0.367684,9.12,0.247359,05-09-2025 22:02:07
steakhouse-usdc-morpho-vault,1.098,398729167,-0.04982,1.099,1.098,9.61,1.034,05-09-2025 22:02:07
elrond-erd-2,13.82,395709777,1.05745,14.24,13.64,545.64,6.51,05-09-2025 22:02:07
axie-infinity,2.36,394281770,2.08004,2.41,2.28,164.9,0.123718,05-09-2025 22:02:07
ecash,1.941e-05,386843875,1.25801,1.975e-05,1.908e-05,0.00038001,1.604e-05,05-09-2025 22:02:07
chiliz,0.03923012,385471841,0.91516,0.04016775,0.03845459,0.878633,0.00410887,05-09-2025 22:02:07
treehouse-eth,5201.86,380052150,-0.72506,5430.76,5177.14,6000.87,1683.91,05-09-2025 22:02:07
superfarm,0.607702,376873719,10.06081,0.617239,0.551198,4.74,0.070397,05-09-2025 22:02:07
wrapped-avax,24.37,375620848,-1.51708,25.04,23.91,2000.68,7.91,05-09-2025 22:02:07
chain-2,0.01064033,372861810,2.64795,0.01108428,0.01029353,0.184139,0.0007055,05-09-2025 22:02:07
olympus,22.6,370541770,-0.40277,23.0,22.56,1415.26,7.54,05-09-2025 22:02:07
aioz-network,0.306388,364121636,1.84754,0.313419,0.299545,2.65,0.01099588,05-09-2025 22:02:07
beam-2,0.00707029,363392870,3.07575,0.0072697,0.00681893,0.04416304,0.00429024,05-09-2025 22:02:07
wormhole,0.076312,362247896,0.2671,0.078236,0.075108,1.66,0.051583,05-09-2025 22:02:07
unit-bitcoin,110795.0,361772847,1.19138,113226.0,109390.0,124343.0,73355.0,05-09-2025 22:02:07
keeta,0.861957,361593516,6.25444,0.938384,0.792736,1.68,0.0068199,05-09-2025 22:02:07
wrapped-hype,46.75,353161800,3.33159,47.45,44.43,50.95,9.43,05-09-2025 22:02:07
gnosis,133.27,351868690,1.45848,138.05,130.2,644.2,6.88,05-09-2025 22:02:07
drift-staked-sol,232.94,351279918,0.13218,239.25,229.62,311.34,107.06,05-09-2025 22:02:07
evervalue-coin,22.7,350601850,1.37355,23.55,22.15,23.55,0.17006,05-09-2025 22:02:07
gho,0.999402,350280830,-0.03438,1.001,0.998127,1.03,0.917065,05-09-2025 22:02:07
reserve-protocol-eth-plus,4507.43,345606767,-0.61442,4702.12,4491.77,5150.57,1461.53,05-09-2025 22:02:07
eutbl,1.22,345008240,0.93638,1.22,1.21,1.22,1.011,05-09-2025 22:02:07
aethir,0.03016486,344300095,0.5167,0.03126756,0.02976373,0.118536,0.02439678,05-09-2025 22:02:07
wrapped-ether-mantle-bridge,4285.35,344274318,-1.16663,4477.37,4262.8,4962.42,1402.44,05-09-2025 22:02:07
1inch,0.243445,339990377,1.71353,0.249659,0.237823,8.65,0.149574,05-09-2025 22:02:07
zebec-network,0.00389668,337001458,-1.8671,0.00401554,0.00388983,0.00700261,0.00069854,05-09-2025 22:02:07
just,0.03399657,336729206,0.7998,0.03445568,0.03369371,0.193254,0.00476275,05-09-2025 22:02:07
staked-frax-ether,4821.62,333286686,-1.03103,5034.08,4803.62,7545.09,1147.58,05-09-2025 22:02:07
resolv-usr,0.999939,333195870,0.01812,1.0,0.999446,1.022,0.959194,05-09-2025 22:02:07
ronin,0.47127,326700715,-3.0842,0.487279,0.470203,4.45,0.196601,05-09-2025 22:02:07
deep,0.130332,326081793,2.1462,0.134534,0.126493,0.341085,0.01073218,05-09-2025 22:02:07
mog-coin,8.34123e-07,325887900,-0.21551,8.84605e-07,8.18606e-07,4.02e-06,4.526e-09,05-09-2025 22:02:07
wemix-token,0.715921,325785804,-0.39749,0.722841,0.705704,24.71,0.128398,05-09-2025 22:02:07
terra-luna,5.882e-05,323795790,1.35083,5.99e-05,5.783e-05,119.18,9.99967e-07,05-09-2025 22:02:07
venom,0.153792,322974143,0.0056,0.156998,0.152907,0.782403,0.03459851,05-09-2025 22:02:07
rekt-4,7.44718e-07,313379956,-1.32107,7.71188e-07,7.43223e-07,1.41e-06,3.1106e-08,05-09-2025 22:02:07
binance-peg-busd,0.998853,312606507,-0.19698,1.003,0.996834,1.064,0.954278,05-09-2025 22:02:07
movement,0.115214,311262026,0.2135,0.117822,0.114265,1.45,0.112218,05-09-2025 22:02:07
axelar,0.29766,306928429,2.96001,0.31372,0.288196,2.64,0.274681,05-09-2025 22:02:07
eos,0.461366,306327097,-2.30313,0.473425,0.450575,22.71,0.402746,05-09-2025 22:02:07
